1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
1,FH,SL1,R,16032011,1,D,MUMN77777A,1,NSDLRPU2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,BH,1,6,24Q,,,,,,,,MUMN77777A,,AAAPA1111A,201112,201011,Q3,Regular return with challan and deductee details,,106/107,BCG Building,Level Crossing Road,Lower Parel (East),Mumbai,19,400013,amitm@bcg.com,22,31922229,Y,K,Vikas Mathur,Sr. Manager,106/107,BCG Building,Level Crossing Road,Lower Parel (East),Mumbai,17,400013,,9833656856,22,31922229,Y,19648,,0,0,N,,,,,,,,,,,
3,CD,1,1,2,N,,,,,,254,,,,1,,12112010,,,92A,2000,245,1465,21,68,3799,,1030,1005.7,404.3,292.96,1702.96,1,2,1457,N,,,,,,,,,,,,,,,,,,,,,,,,,
4,DD,1,1,1,O,5784,,,PANNOTAVBL,,,Deductee 1,502.35,201.65,145.98,849.98,,512,,,10000,22102010,14112010,12112010,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,DD,1,1,2,O,2145,,,PANINVALID,,,Deductee 3,503.35,202.65,146.98,852.98,,518,,,10001,25112010,24112010,12112010,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,CD,1,2,1,N,,,,,,255,,,,1,,14122010,,,92B,3000,44,25,64,65,3198,,745,1452.23,201.23,122.01,1775.47,3,0,1254,N,,,,,,,,,,,,,,,,,,,,,,,,,
7,DD,1,2,1,O,9812,,,PANAPPLIED,,,Deductee 2,1452.23,201.23,122.01,1775.47,,745,,,20000,24102010,16122010,14122010,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,CD,1,3,2,N,,,,,,256,,,,1,,22112010,,,92A,2001,246,146,22,62,2477,,102,100.7,41.3,29.96,171.96,0,21,151285,N,,,,,,,,,,,,,,,,,,,,,,,,,
9,DD,1,3,1,O,5782,,,AAAPA1234A,,,Deductee 4,50.35,20.65,14.98,85.98,,51,,,10020,12102010,5112010,22112010,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,DD,1,3,2,O,2144,,,AAAPA1234A,,,Deductee 6,50.35,20.65,14.98,85.98,,51,,,10025,15112010,29112010,22112010,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,CD,1,4,1,N,,,,,,257,,,,1,,24122010,,,92B,3001,45,26,65,67,3204,,74,145.23,20.23,12.01,177.47,31,41,151286,N,,,,,,,,,,,,,,,,,,,,,,,,,
12,DD,1,4,1,O,9817,,,AAAPA1234A,,,Deductee 5,145.23,20.23,12.01,177.47,,74,,,20030,14102010,12122010,24122010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,CD,1,5,1,N,,,,,,258,,,,1,,2112010,,,92A,2002,242,1462,22,62,3790,,102,64.35,34.65,87.98,186.98,0,0,151287,N,,,,,,,,,,,,,,,,,,,,,,,,,
14,DD,1,5,1,O,2541,,,AAAPA1234A,,,Deductee 7,64.35,34.65,87.98,186.98,,102,,,1000,24102010,8112010,2112010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,CD,1,6,1,N,,,,,,259,,,,1,,4122010,,,92B,3002,42,22,62,52,3180,,35,25.23,64.23,30.01,119.47,7,8,151288,N,,,,,,,,,,,,,,,,,,,,,,,,,
16,DD,1,6,1,O,3204,,,AAAPA1234A,,,Deductee 8,25.23,64.23,30.01,119.47,,35,,,2000,26102010,9122010,4122010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
